segment_id,segment_name,day_of_week,day_name,hour_of_day,speed_min_kmh,speed_max_kmh,accel_mps2,decel_mps2,segment_distance_m,travel_time_s
0,Lanka Gate -> Stop - 1,0,Monday,0,3.25,5.8500000000000005,0.25,0.6,2040,1325.0
0,Lanka Gate -> Stop - 1,0,Monday,0,3.25,5.8500000000000005,0.25,0.6,2040,1350.0
0,Lanka Gate -> Stop - 1,0,Monday,0,3.25,5.8500000000000005,0.25,0.6,2040,1130.0
0,Lanka Gate -> Stop - 1,0,Monday,0,3.25,5.8500000000000005,0.25,0.6,2040,1110.0
0,Lanka Gate -> Stop - 1,0,Monday,0,3.25,5.8500000000000005,0.25,0.6,2040,1470.0
0,Lanka Gate -> Stop - 1,0,Monday,0,3.25,5.8500000000000005,0.25,0.6,2040,1250.0
0,Lanka Gate -> Stop - 1,0,Monday,0,3.25,5.8500000000000005,0.25,0.6,2040,1120.0
0,Lanka Gate -> Stop - 1,0,Monday,0,3.25,5.8500000000000005,0.25,0.6,2040,1315.0
0,Lanka Gate -> Stop - 1,0,Monday,0,3.25,5.8500000000000005,0.25,0.6,2040,1375.0
0,Lanka Gate -> Stop - 1,0,Monday,0,3.25,5.8500000000000005,0.25,0.6,2040,1120.0
0,Lanka Gate -> Stop - 1,0,Monday,0,3.25,5.8500000000000005,0.25,0.6,2040,1120.0
0,Lanka Gate -> Stop - 1,0,Monday,0,3.25,5.8500000000000005,0.25,0.6,2040,1180.0
0,Lanka Gate -> Stop - 1,0,Monday,0,3.25,5.8500000000000005,0.25,0.6,2040,1480.0
0,Lanka Gate -> Stop - 1,0,Monday,0,3.25,5.8500000000000005,0.25,0.6,2040,1450.0
0,Lanka Gate -> Stop - 1,0,Monday,0,3.25,5.8500000000000005,0.25,0.6,2040,1135.0
0,Lanka Gate -> Stop - 1,0,Monday,0,3.25,5.8500000000000005,0.25,0.6,2040,1365.0
0,Lanka Gate -> Stop - 1,0,Monday,0,3.25,5.8500000000000005,0.25,0.6,2040,1135.0
0,Lanka Gate -> Stop - 1,0,Monday,0,3.25,5.8500000000000005,0.25,0.6,2040,1155.0
0,Lanka Gate -> Stop - 1,0,Monday,0,3.25,5.8500000000000005,0.25,0.6,2040,1310.0
0,Lanka Gate -> Stop - 1,0,Monday,0,3.25,5.8500000000000005,0.25,0.6,2040,1445.0
0,Lanka Gate -> Stop - 1,0,Monday,1,3.375,6.075,0.25,0.6,2040,1100.0
0,Lanka Gate -> Stop - 1,0,Monday,1,3.375,6.075,0.25,0.6,2040,1270.0
0,Lanka Gate -> Stop - 1,0,Monday,1,3.375,6.075,0.25,0.6,2040,1360.0
0,Lanka Gate -> Stop - 1,0,Monday,1,3.375,6.075,0.25,0.6,2040,1385.0
0,Lanka Gate -> Stop - 1,0,Monday,1,3.375,6.075,0.25,0.6,2040,1080.0
0,Lanka Gate -> Stop - 1,0,Monday,1,3.375,6.075,0.25,0.6,2040,1065.0
0,Lanka Gate -> Stop - 1,0,Monday,1,3.375,6.075,0.25,0.6,2040,1425.0
0,Lanka Gate -> Stop - 1,0,Monday,1,3.375,6.075,0.25,0.6,2040,1360.0
0,Lanka Gate -> Stop - 1,0,Monday,1,3.375,6.075,0.25,0.6,2040,1265.0
0,Lanka Gate -> Stop - 1,0,Monday,1,3.375,6.075,0.25,0.6,2040,1255.0
0,Lanka Gate -> Stop - 1,0,Monday,1,3.375,6.075,0.25,0.6,2040,1160.0
0,Lanka Gate -> Stop - 1,0,Monday,1,3.375,6.075,0.25,0.6,2040,1245.0
0,Lanka Gate -> Stop - 1,0,Monday,1,3.375,6.075,0.25,0.6,2040,1385.0
0,Lanka Gate -> Stop - 1,0,Monday,1,3.375,6.075,0.25,0.6,2040,1205.0
0,Lanka Gate -> Stop - 1,0,Monday,1,3.375,6.075,0.25,0.6,2040,1430.0
0,Lanka Gate -> Stop - 1,0,Monday,1,3.375,6.075,0.25,0.6,2040,1320.0
0,Lanka Gate -> Stop - 1,0,Monday,1,3.375,6.075,0.25,0.6,2040,1425.0
0,Lanka Gate -> Stop - 1,0,Monday,1,3.375,6.075,0.25,0.6,2040,1420.0
0,Lanka Gate -> Stop - 1,0,Monday,1,3.375,6.075,0.25,0.6,2040,1230.0
0,Lanka Gate -> Stop - 1,0,Monday,1,3.375,6.075,0.25,0.6,2040,1325.0
0,Lanka Gate -> Stop - 1,0,Monday,2,3.5,6.3,0.25,0.6,2040,1110.0
0,Lanka Gate -> Stop - 1,0,Monday,2,3.5,6.3,0.25,0.6,2040,1085.0
0,Lanka Gate -> Stop - 1,0,Monday,2,3.5,6.3,0.25,0.6,2040,1100.0
0,Lanka Gate -> Stop - 1,0,Monday,2,3.5,6.3,0.25,0.6,2040,1045.0
0,Lanka Gate -> Stop - 1,0,Monday,2,3.5,6.3,0.25,0.6,2040,1135.0
0,Lanka Gate -> Stop - 1,0,Monday,2,3.5,6.3,0.25,0.6,2040,1185.0
0,Lanka Gate -> Stop - 1,0,Monday,2,3.5,6.3,0.25,0.6,2040,1110.0
0,Lanka Gate -> Stop - 1,0,Monday,2,3.5,6.3,0.25,0.6,2040,1065.0
0,Lanka Gate -> Stop - 1,0,Monday,2,3.5,6.3,0.25,0.6,2040,1040.0
0,Lanka Gate -> Stop - 1,0,Monday,2,3.5,6.3,0.25,0.6,2040,1125.0
0,Lanka Gate -> Stop - 1,0,Monday,2,3.5,6.3,0.25,0.6,2040,1040.0
0,Lanka Gate -> Stop - 1,0,Monday,2,3.5,6.3,0.25,0.6,2040,1280.0
0,Lanka Gate -> Stop - 1,0,Monday,2,3.5,6.3,0.25,0.6,2040,1250.0
0,Lanka Gate -> Stop - 1,0,Monday,2,3.5,6.3,0.25,0.6,2040,1165.0
0,Lanka Gate -> Stop - 1,0,Monday,2,3.5,6.3,0.25,0.6,2040,1345.0
0,Lanka Gate -> Stop - 1,0,Monday,2,3.5,6.3,0.25,0.6,2040,1280.0
0,Lanka Gate -> Stop - 1,0,Monday,2,3.5,6.3,0.25,0.6,2040,1085.0
0,Lanka Gate -> Stop - 1,0,Monday,2,3.5,6.3,0.25,0.6,2040,1215.0
0,Lanka Gate -> Stop - 1,0,Monday,2,3.5,6.3,0.25,0.6,2040,1060.0
0,Lanka Gate -> Stop - 1,0,Monday,2,3.5,6.3,0.25,0.6,2040,1160.0
0,Lanka Gate -> Stop - 1,0,Monday,3,3.5,6.3,0.25,0.6,2040,1190.0
0,Lanka Gate -> Stop - 1,0,Monday,3,3.5,6.3,0.25,0.6,2040,1160.0
0,Lanka Gate -> Stop - 1,0,Monday,3,3.5,6.3,0.25,0.6,2040,1065.0
0,Lanka Gate -> Stop - 1,0,Monday,3,3.5,6.3,0.25,0.6,2040,1090.0
0,Lanka Gate -> Stop - 1,0,Monday,3,3.5,6.3,0.25,0.6,2040,1270.0
0,Lanka Gate -> Stop - 1,0,Monday,3,3.5,6.3,0.25,0.6,2040,1055.0
0,Lanka Gate -> Stop - 1,0,Monday,3,3.5,6.3,0.25,0.6,2040,1305.0
0,Lanka Gate -> Stop - 1,0,Monday,3,3.5,6.3,0.25,0.6,2040,1110.0
0,Lanka Gate -> Stop - 1,0,Monday,3,3.5,6.3,0.25,0.6,2040,1215.0
0,Lanka Gate -> Stop - 1,0,Monday,3,3.5,6.3,0.25,0.6,2040,1145.0
0,Lanka Gate -> Stop - 1,0,Monday,3,3.5,6.3,0.25,0.6,2040,1375.0
0,Lanka Gate -> Stop - 1,0,Monday,3,3.5,6.3,0.25,0.6,2040,1100.0
0,Lanka Gate -> Stop - 1,0,Monday,3,3.5,6.3,0.25,0.6,2040,1030.0
0,Lanka Gate -> Stop - 1,0,Monday,3,3.5,6.3,0.25,0.6,2040,1085.0
0,Lanka Gate -> Stop - 1,0,Monday,3,3.5,6.3,0.25,0.6,2040,1040.0
